S. N.	Jirel Transcription	Gloss in English	Gloss in Nepali	Possible Tone 
1	[dziu]	Body	शरीर	Low
2	[ŋɡo]	Head	टाउको	Low
3	[ŋɡokita]	Hair 	कपाल	
4	[tɕʰet̪]	Face 	अनुहार	Mid
5	[mik]	Eye	आँखा	High
6	[n̪amdʑjok]	Ear	कान	Mid-High
7	[n̪əu]	Nose	नाक	Mid-High
8	[kʰa]	Mouth	मुख	Mid-High
9	[sa]	Teeth	दाँत	Mid-High
10	[tselak]	Tongue	जिब्रो	Mid-High
11	[n̪uma]	Breast	स्तन	Low-Rise
12	[suba]	Belly	पेट	High
13	[lakpa]	Arm/Hand	हात	Low-Rise
14	[kuin̪a]	Elbow	कुइनो	
15	[pəɹa]	Palm	हत्केला	Mid-Fall
16	[ndziu]	Finger	औँला	
17	[seɹmuk]	Fingernail	नङ	High
18	[tʰekpa]	Leg	खुट्टा	High
19	[kokt̪en]	Skin	छाला	High
20	[ɹuba]	Bone	हाड	Low-Rise
21	[ɲiŋ]	Heart	मुटु	High
22	[tʰak]	Blood	रगत	High
23	[tsiŋ]	Urine	पिसाब	High
24	[kjakpa]	Faeces	दिसा	High
25	[jul]	Village	गाउँ	Low-Rise
26	[kʰamba]	House	घर	Mid-High
27	[tsʰanu]	Roof	छानो	
28	[ŋɡo]	Door	ढोका	Mid
29	[ɕiŋ]	Firewood	दाउरा	High
30	[komuk]	Broom	कुचो	High
31	[siləuta]	Mortar	सिलौटो	
32	[nd̪aɹd̪ok]	Pestle	लोहोरो	
33	[toktoke]	Hammer	हथौडा	
34	[tɕʰuɹa]/[tsəku]	Knife	चक्कु	
35	[t̪əɹi]	Axe	वन्चरो	High
36	[t̪ʰakpa]	Rope	डोरी	Mid-High
37	[ɕut̪ak]	Thread	धागो	High
38	[kʰap]	Needle	सियो	High
39	[kʰolak]	Cloth	लुगा (कपडा)	Mid-High
40	[əũtʰi]	Ring	औँठी	
41	[ɲima]	Sun	घाम	High
42	[nd̪aɡaɹ]	Moon	चन्द्रमा	Mid
