S. N.	Gyalsamdo Transcription	Gloss in English	Gloss in Nepali	Possible Tone 
1	[suɡu]	Body	शरीर	Low
2	[ko]	Head	टाउको	Low
3	[ta]	Hair 	कपाल	High-Fall
4	[ŋot̪oŋ]	Face 	अनुहार	Low-Rise
5	[mi]	Eye	आँखा	High-Fall
6	[amtɕo]/[amdʑo]	Ear	कान	Mid
7	[naɾki]	Nose	नाक	Mid
8	[kʰa]	Mouth	मुख	High-Fall
9	[so]	Teeth	दाँत	High-Fall
10	[tɕemu]	Tongue	जिब्रो	Mid
11	[oma]/[ɦoma]	Breast	स्तन	Low-Rise
12	[toba]	Belly	पेट	Low-Rise
13	[laɡpa]	Arm/Hand	हात	Low-Rise
14	[temaɲuŋ]	Elbow	कुइनो	
15	[laɡpat̪ʰil]/[laɡt̪ʰel]	Palm	हत्केला	
16	[tsuɡu]	Finger	औँला	Low-Rise
17	[seɹmu]	Fingernail	नङ	High-Fall
18	[kaŋpa]	Leg	खुट्टा	Mid
19	[paɡpa]/[poɡo]	Skin	छाला	Mid
20	[ɹoɡo]	Bone	हाड	Low-Rise
21	[ɲiŋ]	Heart	मुटु	High
22	[tʰak]	Blood	रगत	High-Fall
23	[tɕiŋ]	Urine	पिसाब	High
24	[kjaɡpa]	Faeces	दिसा	Mid
25	[jul]	Village	गाउँ	Low-Rise
26	[kʰaŋpa]	House	घर	Mid
27	[kʰaŋt̪ø]/ [t̪ʰo]	Roof	छानो	Mid/High
28	[ko]	Door	ढोका	Mid-High
29	[ɕiŋ]	Firewood	दाउरा	High-Fall
30	[tɕʰama]	Broom	कुचो	Mid
31	[t̪ʰasa]/ [koɡtsʰum]	Mortar	सिलौटो	xxx/Low-Rise
32	[koɡt̪o]	Pestle	लोहोरो	Low-Rise
33	[t̪ʰowa]	Hammer	हथौडा	High-Fall
34	[kaɾt̪a]	Knife	चक्कु	Mid-High
35	[t̪aɹi]	Axe	वन्चरो	High
36	[t̪ʰaɡpa]	Rope	डोरी	Mid-High
37	[kupa]	Thread	धागो	High-Fall
38	[kʰap]	Needle	सियो	High 
39	[køla]	Cloth	लुगा (कपडा)	Low-Rise
40	[soɹt̪ob]	Ring	औँठी	High-Fall
41	[ɲima]	Sun	घाम	Low-Rise
42	[t̪akaɹ]/[t̪awa]	Moon	चन्द्रमा	Low-Rise
43	[nam]	Sky	आकास	High
44	[kaɹma]	Star	तारा	High
45	[nam]	Rain	वर्षा	
46	[tɕʰu]	Water	पानी	Mid-Fall
47	[tsaŋpu]	River	नदी	Mid 
48	[muɡpa]	Cloud	बादल	High
49	[loɡmaɹ]	Lightening	बिजुली चम्कनु	High
50	[sa]	Rainbow	इन्द्रेणी	Mid
51	[hlawa]	Wind	वतास	Low
52	[t̪o]	Stone	ढुङ्गा	Low-Rise
53	[lam]	Path	बाटो	Low-Rise
54	[pema]	Sand	बालुवा	Low-Rise
55	[me]	Fire	आगो	Low-Rise
56	[t̪uba]	Smoke	धुवाँ	Low-Rise
57	[kɔkt̪al]	Ash	खरानी	Low-Rise
58	[sa]	Mud	माटो	High-Fall
59	[t̪ʰala]	Dust	धुलो	Mid
60	[seɹ]	Gold	सुन	High-Fall
61	[t̪oŋbu]	Tree	रुख	Low-Rise
62	[lapt̪i]/[loma]	Leaf	पात	Low-Rise
63	[pat̪a]	Root	जरा	Low-Rise
64	[tsʰeɾma]	Thorn	काँडो	Mid-High
65	[mend̪o	Flower	फूल	Low-Rise
66	[ɕiŋd̪o]	Fruit	फलफुल	Mid
67	[ãp]	Mango	आँप	Mid
68	[keɹa]	Banana	केरा	Mid
69	[to]	Wheat (husked)	गहुँ	Mid-Rise?
70	[tsəu]	Barley	जौ	High
71	[tɛ]/[tʰɛ]	Rice (husked)	चामल	Mid
72	[alo]	Potato	आलु	High
73	[penda]	Eggplant	भन्टा	
74	[pəd̪am]	Groundnut	बदाम	
75	[maɾtsʰa]	Chilli	खुर्सानी	Mid
76	[peɕaɹ]	Turmeric	बेसार	
77	[kɔkpa]	Garlic	लसुन	Low-Rise
78	[pjaz]	Onion	प्याज	
79	[kəuli]	Cauliflower	काउली	
80	[kolbenda]	Tomato	गोलभेँडा	
81	[pənd̪a]	Cabbage	बन्दा	
82	[maɹku]	Oil	तेल	Low-Rise
83	[tsʰa]	Salt	नुन	High-Fall
84	[ɕja]	Meat	मासु	High-Fall
85	[tsʰulu]	Fat (of meat)	बोसो	High
86	[ɲa]	Fish	माछा	Low-Rise
87	[tɕʰiptʰuk]	Chicken	चल्ला	
88	[koŋa]	Egg	अन्डा	Low-Rise
89	[poɡo]	Cow	गाइ	Low-Rise
90	[maji]	Buffalo	भैँसी	Low-Rise
91	[oma]	Milk	दुध	Low-Rise
92	[ɹakjo]	Horns	सिङ	Low-Rise
93	[ŋama]	Tail	पुच्छर	Mid-High
94	[ɹa]	Goat	बाख्रो	Low-Rise
95	[kjupu]/[ki]	Dog	कुकुर	High
96	[tul]	Snake	सर्प (साँप)	Mid-Rise
97	[tɛmaɹ]/[te]	Monkey	बाँदर	Mid/High
98	[lamkute]	Mosquito	लामखुट्टे	
99	[tomaɹ]	Ant	कमिला	Low-Rise
100	[palba]	Spider	माकुरो	Low-Rise
101	[miŋ]	Name	नाम	Low-Rise
102	[mi]	Man	मान्छे	Low-Rise
103	[pomo]	Woman	आइमाई	Low-Rise
104	[tuɡu]	Child	बच्चा	High
105	[apa]	Father	बुबा	Mid
106	[ama]	Mother	आमा	Mid
107	[atɕjo]	Older brother	दाजु	Mid 
108	[no]	Younger brother	भाइ	Low-Rise
